adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,filed,accepted,prevrpt,detail,instance,nciks,aciks,SIC Code,Office,Industry Title,filing_url
0001412408-22-000019,1412408,"PHREESIA, INC.",7389.0,US,NC,RALEIGH,27601,434 FAYETTEVILLE ST.,SUITE 1400,646-747-9959,US,NC,RALEIGH,27601,434 FAYETTEVILLE ST.,SUITE 1400,US,DE,0.0,PHREESIA INC,20070914.0,1-LAF,1,131.0,10-K,20220131.0,2021.0,FY,20220331,2022-03-31 16:03:00.0,0,1,phr-20220131_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1412408/000141240822000019/0001412408-22-000019.txt
0001428336-22-000009,1428336,"HEALTHEQUITY, INC.",7389.0,US,UT,DRAPER,84020,15 WEST SCENIC POINTE DRIVE,SUITE 100,801-727-1000,US,UT,DRAPER,84020,15 WEST SCENIC POINTE DRIVE,SUITE 100,US,DE,0.0,HEALTHEQUITY INC,20080227.0,1-LAF,1,131.0,10-K,20220131.0,2021.0,FY,20220331,2022-03-31 16:04:00.0,0,1,hqy-20220131_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1428336/000142833622000009/0001428336-22-000009.txt
0001199835-22-000283,1079282,"RIVULET MEDIA, INC.",7389.0,US,AZ,GILBERT,85296,"1206 EAST WARNER ROAD, SUITE 101-I",,480-225-4052,US,AZ,GILBERT,85296,"1206 EAST WARNER ROAD, SUITE 101-I",,US,DE,330824714.0,"BIO-MATRIX SCIENTIFIC GROUP, INC.",20061002.0,4-NON,0,731.0,10-K,20210731.0,2021.0,FY,20220513,2022-05-12 20:06:00.0,0,1,rivu-10k_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1079282/000119983522000283/0001199835-22-000283.txt
0001558891-22-000031,1726079,"TIPMEFAST, INC.",7389.0,IL,,ZIHRON YA'AKOV,30950,HASHUMURA ST 1,,702-761-6769,IL,,ZIHRON YA'AKOV,30950,HASHUMURA ST 1,,US,NV,0.0,,,4-NON,0,1231.0,10-K,20211231.0,2021.0,FY,20220513,2022-05-13 11:56:00.0,0,1,tpmf-20211231_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1726079/000155889122000031/0001558891-22-000031.txt
0001493152-22-009370,1022899,"PROTAGENIC THERAPEUTICS, INC.NEW",7389.0,US,NY,NEW YORK,10010,149 FIFTH AVENUE,SUITE 500,(212) 994-8200,US,NY,NEW YORK,10010,149 FIFTH AVENUE,SUITE 500,US,DE,61390025.0,"ATRINSIC, INC.",20090630.0,4-NON,0,1231.0,10-K,20211231.0,2021.0,FY,20220407,2022-04-07 17:09:00.0,0,1,form10-k_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1022899/000149315222009370/0001493152-22-009370.txt
0001493152-22-018093,1496690,"BLUEONE CARD, INC.",7389.0,US,NV,NORTH LAS VEGAS,89084,3609 HAMMERKOP DR.,,(415) 841-3570,US,NV,NORTH LAS VEGAS,89084,3609 HAMMERKOP DR.,,US,NV,260478989.0,"MANNEKING, INC.",20191115.0,4-NON,0,331.0,10-K,20220331.0,2021.0,FY,20220629,2022-06-29 15:45:00.0,0,1,form10-k_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1496690/000149315222018093/0001493152-22-018093.txt
0001213900-22-033681,1372183,NEXTPLAY TECHNOLOGIES INC.,7389.0,US,FL,SUNRISE,33323,1560 SAWGRASS CORPORATE PARKWAY,SUITE 130,(954) 888-9779,US,FL,SUNRISE,33323,1560 SAWGRASS CORPORATE PARKWAY,SUITE 130,US,NV,263509845.0,"MONAKER GROUP, INC.",20150626.0,4-NON,0,228.0,10-K,20220228.0,2021.0,FY,20220621,2022-06-17 19:02:00.0,0,1,f10k2022_nextplaytech_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1372183/000121390022033681/0001213900-22-033681.txt
0001493152-22-017415,1456857,"MJ HOLDINGS, INC.",7389.0,US,NV,LAS VEGAS,89146,"2580 S. SORREL ST.,",,702-879-4440,US,NV,LAS VEGAS,89146,"2580 S. SORREL ST.,",,US,NV,208235905.0,"SECURITAS EDGAR FILINGS, INC.",20090223.0,4-NON,0,1231.0,10-K,20211231.0,2021.0,FY,20220621,2022-06-21 17:31:00.0,0,1,form10-k_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1456857/000149315222017415/0001493152-22-017415.txt
0001477932-22-004392,1609988,FLOOIDCX CORP.,7389.0,CA,ON,OAKVILLE,L6J 7W5,1282A CORNWALL ROAD,,(855) 535-6643,CA,ON,OAKVILLE,L6J 7W5,1282A CORNWALL ROAD,,,,352511643.0,GRIPEVINE INC.,20170111.0,4-NON,0,228.0,10-K,20220228.0,2021.0,FY,20220615,2022-06-15 15:21:00.0,0,1,flcx_10k_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1609988/000147793222004392/0001477932-22-004392.txt
0001410578-22-001835,1712543,ANDOVER NATIONAL CORP,7389.0,US,FL,MIAMI,33131,333 AVENUE OF THE AMERICAS,SUITE 2000,(786) 871-3333,US,FL,MIAMI,33131,333 AVENUE OF THE AMERICAS,SUITE 2000,US,DE,832216345.0,"EDGAR EXPRESS, INC.",20170721.0,4-NON,0,1231.0,10-K,20211231.0,2021.0,FY,20220525,2022-05-25 13:21:00.0,0,1,aanc-20211231x10k_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1712543/000141057822001835/0001410578-22-001835.txt
