adsh,Risk Factors,Label 1,Label 1 - details,Label 2,Label 2 - details
0000036966-23-000016,Risks Related to the Pending TD Merger,strategy risk,Merger & Acquisition,,
0000036966-23-000016,"Receipt of regulatory approvals for the Pending TD Merger has taken longer than originally anticipated, and TD does not expect that the necessary regulatory approvals will be received in time to complete the Pending TD Merger by the current outside date of May 27, 2023. ",strategy risk,,,
0000036966-23-000016,"Regulatory approvals may not be received, have taken longer than expected, and may impose conditions that are not presently anticipated.",legal and regulatory risk,,,
0000036966-23-000016,"The TD Merger Agreement may be terminated in accordance with its terms, and the Pending TD Merger may not be completed.",strategy risk,Merger & Acquisition,,
0000036966-23-000016,"Failure to complete the Pending TD Merger could negatively impact our stock price, result in litigation and result in significant dilution due to the terms of the Series G preferred stock issued to TD.",market risk,Stock Price Fluctuate,,
0000036966-23-000016,"The Pending TD Merger, including the need to further extend the TD Merger Agreement outside date, may adversely affect our business, financial condition, and results of operations. Shareholder litigation could prevent or delay the completion of the Pending TD Merger or otherwise negatively impact our business and operations.",strategy risk,Merger & Acquisition,,
0000036966-23-000016,The TD Merger Agreement contains provisions that could discourage a potential competing acquirer that might be willing to pay more to acquire or merge with us.,strategy risk,,,
0000036966-23-000016,Traditional Competition Risks,competition risk,,,
0000036966-23-000016,"We are subject to intense competition for clients, and the nature of that competition is changing quickly.",competition risk,,,
0000036966-23-000016,Competitive pressures shift with the business and rate environment. ,competition risk,,,
0000036966-23-000016,We expect that competition will continue to grow more intense with respect to most of our products and services. ,competition risk,,,
0000036966-23-000016,We compete for talent.,competition risk,,,
0000036966-23-000016,We compete to raise capital in the equity and debt markets.,liquidity risk,,,
0000036966-23-000016,Traditional Strategic & Macro Risks,strategy risk,,,
0000036966-23-000016,We may be unable to successfully implement our strategy to operate and grow our regional and specialty banking businesses.,strategy risk,,,
0000036966-23-000016,Failure to achieve one or more key elements needed for successful organic growth would adversely affect our business and earnings. ,strategy risk,,,
0000036966-23-000016,"A type of strategic acquisition?? so-called ??erger of equals??where the company we nominally acquire has similar size, operating contribution, or value??resents unique opportunities but also unique risks.",strategy risk,,,
0000036966-23-000016,Industry Disruption,business risk,,,
0000036966-23-000016,"Through technological innovations and changes in client habits, the manner in which clients use financial services continues to change at a rapid pace.",business risk,,,
0000036966-23-000016,"The nature of technology-driven disruption to our industry is changing, in some cases seeking to displace traditional financial service providers rather than merely enhance traditional services or their delivery.",business risk,,,
0000036966-23-000016,"We believe that, over the course of the technology-driven evolution of our industry which is well underway, the ??inners??will be those institutions which can know their clients and make those clients feel they are known, even when many clients increasingly do not visit banking centers or have face-to-face live interaction.",business risk,,,
0000036966-23-000016,"A critical factor in successful data analytics, allowing real-time differentiated interaction with clients, is how traditionally uncaptured, unstructured, or siloed data is acquired, managed, and accessed. ",operational risk,information system,,
0000036966-23-000016,Developing workable proprietary solutions to the data analytics challenges ahead of competitors requires substantial investment in information technology systems and innovation.,strategy risk,,,
0000036966-23-000016,"To thrive as our industry is disrupted, we will need to continue to embrace some of the attitudes of a technology company, and shed some of the traditional attitudes often associated with banking.",strategy risk, Investment Strategy,,
0000036966-23-000016,"Just as disruptive business changes driven by new technologies and new client preferences can adversely impact us and our entire industry, similar events can adversely impact our commercial clients.",competition risk,,,
0000036966-23-000016,Operational Risks,operational risk,,,
0000036966-23-000016,"Fraud is a major, and increasing, operational risk for us and all banks.",operational risk,Fraud,,
0000036966-23-000016,"Our ability to conduct and grow our businesses is dependent in part upon our ability to create, maintain, expand, and evolve an appropriate operational and organizational infrastructure,",operational risk,,,
0000036966-23-000016,"manage expenses, and recruit and retain personnel with the ability to manage a complex business.",operational risk,,,
0000036966-23-000016,"An information technology security (cybersecurity) breach or other incident can cause significant damage, and can be difficult to detect even after it occurs.",operational risk,Technology Security,,
0000036966-23-000016,Cybersecurity incidents happen frequently; they are an unavoidable part of doing business. ,operational risk,,,
0000036966-23-000016,"The operational functions we outsource to third parties may experience similar disruptions that could adversely impact us and over which we may have limited control and, in some cases, limited ability to obtain an alternate vendor quickly.",operational risk,,,
0000036966-23-000016,"The operational functions of business counterparties, or businesses with which we have no relationship, may experience disruptions that could adversely impact us and over which we may have limited or no control.",operational risk,Internal Control,,
0000036966-23-000016,"Failure to build and maintain, or outsource, the necessary operational infrastructure, failure of that infrastructure to perform its functions, or failure of our disaster preparedness plans if primary infrastructure components suffer damage, can lead to risk of loss of service to clients, legal actions, and noncompliance with applicable regulatory standards.",operational risk,,,
0000036966-23-000016,"The delivery of financial services to clients and others increasingly depends upon technologies, systems, and multi-party infrastructures which are new, creating or enhancing several risks discussed elsewhere. ",operational risk,,,
0000036966-23-000016,Competition for talent is substantial and increasing. ,competition risk,,,
0000036966-23-000016,Incentives might operate poorly or have unintended adverse effects.,strategy risk,,,
0000036966-23-000016,We face the risk that our competitors may seek to use the Pending TD Merger to target our clients and top talent.,competition risk,,,
0000036966-23-000016,Risks from Economic Downturns & Changes,market risk,,,
0000036966-23-000016,"Generally, in an economic downturn, our realized credit losses increase, demand for our products and services declines, and the credit quality of our loan portfolio declines.",market risk,,,
0000036966-23-000016,"Because all banks are sensitive to the risk of downturns, the stock prices of all banks typically decline, sometimes substantially, if the market believes that a downturn has become more likely or is imminent. ",market risk,,,
0000036966-23-000016,Risks Associated with Monetary Events,market risk,,,
0000036966-23-000016,"In recent years, the Federal Reserve has implemented and reversed significant economic strategies that have impacted interest rates, inflation, asset values, and the shape of the yield curve. These strategies have had, and will continue to have, a significant impact on our business and on many of our clients.",market risk,,,
0000036966-23-000016,"Federal Reserve strategies can, and often are intended to, affect the domestic money supply, inflation, interest rates, and the shape of the yield curve. ",market risk,,,
0000036966-23-000016,We may be adversely affected by economic and political situations outside the U.S.,market risk,,,
0000036966-23-000016,Risks Related to Businesses We May Exit,strategy risk,,,
0000036966-23-000016,We may be unable to successfully implement a disposition or wind-down of businesses or units which no longer fit our strategic plans.,strategy risk,,,
0000036966-23-000016,Reputation Risks,other risk,Reputation Risk,,
0000036966-23-000016,"Our ability to conduct and grow our businesses, and to obtain and retain clients, is highly dependent upon external perceptions of our business practices and financial stability.",market risk,,,
0000036966-23-000016,"Political and social fragmentation in the U.S., combined with access to social media platforms, can increase reputation risk in ways that might not be easily avoided by traditional means. ",business risk,,,
0000036966-23-000016,Credit Risks,credit risk,,,
0000036966-23-000016,We face the risk that our clients may not repay their loans and that the realizable value of collateral may be insufficient to avoid a charge-off. ,credit risk,,,
0000036966-23-000016,The recent low-interest rate environment (which ended in 2022) elevated the traditional challenge for lenders and investors to balance taking on higher risk against the desire for higher income or yield. ,credit risk,,,
0000036966-23-000016,"As interest rates rise, default risk likely also will rise.",credit risk,,,
0000036966-23-000016,"Realized credit losses tend to increase and decrease in a cyclical manner, although the duration and timing of any given credit cycle is impossible to predict accurately. ",credit risk,,,
0000036966-23-000016,The credit cycle was disrupted by COVID-19.,credit risk,,,
0000036966-23-000016,The composition of our loans inherently increases our sensitivity to certain credit risks. ,credit risk,,,
0000036966-23-000016,Product concentration.,business risk,,,
0000036966-23-000016,Collateral concentration.,credit risk,,,
0000036966-23-000016,Geographic concentration. ,strategy risk,,,
0000036966-23-000016,Volatility in the oil and gas industry can impact us. ,business risk,,,
0000036966-23-000016,Service Risks,business risk,,,
