adsh,Risk Factors,Label 1,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,filed,accepted,prevrpt,detail,instance,nciks,aciks,SIC Code,Office,Industry Title,filing_url
0000036966-23-000016,Risks Related to the Pending TD Merger,strategy risk,36966,FIRST HORIZON CORP,6021.0,US,TN,MEMPHIS,38103,165 MADISON AVENUE,,9018186232,US,TN,MEMPHIS,38103,165 MADISON AVENUE,,US,TN,620803242.0,FIRST HORIZON NATIONAL CORP,20040422.0,1-LAF,1,1231.0,10-K,20221231.0,2022.0,FY,20230301,2023-03-01 06:07:00.0,0,1,fhn-20221231_htm.xml,1,,6021,Office of Finance,NATIONAL COMMERCIAL BANKS,https://www.sec.gov/Archives/edgar/data/36966/000003696623000016/0000036966-23-000016.txt
0000036966-23-000016,"Receipt of regulatory approvals for the Pending TD Merger has taken longer than originally anticipated, and TD does not expect that the necessary regulatory approvals will be received in time to complete the Pending TD Merger by the current outside date of May 27, 2023. ",strategy risk,36966,FIRST HORIZON CORP,6021.0,US,TN,MEMPHIS,38103,165 MADISON AVENUE,,9018186232,US,TN,MEMPHIS,38103,165 MADISON AVENUE,,US,TN,620803242.0,FIRST HORIZON NATIONAL CORP,20040422.0,1-LAF,1,1231.0,10-K,20221231.0,2022.0,FY,20230301,2023-03-01 06:07:00.0,0,1,fhn-20221231_htm.xml,1,,6021,Office of Finance,NATIONAL COMMERCIAL BANKS,https://www.sec.gov/Archives/edgar/data/36966/000003696623000016/0000036966-23-000016.txt
0000036966-23-000016,"Regulatory approvals may not be received, have taken longer than expected, and may impose conditions that are not presently anticipated.",legal and regulatory risk,36966,FIRST HORIZON CORP,6021.0,US,TN,MEMPHIS,38103,165 MADISON AVENUE,,9018186232,US,TN,MEMPHIS,38103,165 MADISON AVENUE,,US,TN,620803242.0,FIRST HORIZON NATIONAL CORP,20040422.0,1-LAF,1,1231.0,10-K,20221231.0,2022.0,FY,20230301,2023-03-01 06:07:00.0,0,1,fhn-20221231_htm.xml,1,,6021,Office of Finance,NATIONAL COMMERCIAL BANKS,https://www.sec.gov/Archives/edgar/data/36966/000003696623000016/0000036966-23-000016.txt
0000036966-23-000016,"The TD Merger Agreement may be terminated in accordance with its terms, and the Pending TD Merger may not be completed.",strategy risk,36966,FIRST HORIZON CORP,6021.0,US,TN,MEMPHIS,38103,165 MADISON AVENUE,,9018186232,US,TN,MEMPHIS,38103,165 MADISON AVENUE,,US,TN,620803242.0,FIRST HORIZON NATIONAL CORP,20040422.0,1-LAF,1,1231.0,10-K,20221231.0,2022.0,FY,20230301,2023-03-01 06:07:00.0,0,1,fhn-20221231_htm.xml,1,,6021,Office of Finance,NATIONAL COMMERCIAL BANKS,https://www.sec.gov/Archives/edgar/data/36966/000003696623000016/0000036966-23-000016.txt
0000036966-23-000016,"Failure to complete the Pending TD Merger could negatively impact our stock price, result in litigation and result in significant dilution due to the terms of the Series G preferred stock issued to TD.",market risk,36966,FIRST HORIZON CORP,6021.0,US,TN,MEMPHIS,38103,165 MADISON AVENUE,,9018186232,US,TN,MEMPHIS,38103,165 MADISON AVENUE,,US,TN,620803242.0,FIRST HORIZON NATIONAL CORP,20040422.0,1-LAF,1,1231.0,10-K,20221231.0,2022.0,FY,20230301,2023-03-01 06:07:00.0,0,1,fhn-20221231_htm.xml,1,,6021,Office of Finance,NATIONAL COMMERCIAL BANKS,https://www.sec.gov/Archives/edgar/data/36966/000003696623000016/0000036966-23-000016.txt
0000036966-23-000016,"The Pending TD Merger, including the need to further extend the TD Merger Agreement outside date, may adversely affect our business, financial condition, and results of operations. Shareholder litigation could prevent or delay the completion of the Pending TD Merger or otherwise negatively impact our business and operations.",strategy risk,36966,FIRST HORIZON CORP,6021.0,US,TN,MEMPHIS,38103,165 MADISON AVENUE,,9018186232,US,TN,MEMPHIS,38103,165 MADISON AVENUE,,US,TN,620803242.0,FIRST HORIZON NATIONAL CORP,20040422.0,1-LAF,1,1231.0,10-K,20221231.0,2022.0,FY,20230301,2023-03-01 06:07:00.0,0,1,fhn-20221231_htm.xml,1,,6021,Office of Finance,NATIONAL COMMERCIAL BANKS,https://www.sec.gov/Archives/edgar/data/36966/000003696623000016/0000036966-23-000016.txt
0000036966-23-000016,The TD Merger Agreement contains provisions that could discourage a potential competing acquirer that might be willing to pay more to acquire or merge with us.,strategy risk,36966,FIRST HORIZON CORP,6021.0,US,TN,MEMPHIS,38103,165 MADISON AVENUE,,9018186232,US,TN,MEMPHIS,38103,165 MADISON AVENUE,,US,TN,620803242.0,FIRST HORIZON NATIONAL CORP,20040422.0,1-LAF,1,1231.0,10-K,20221231.0,2022.0,FY,20230301,2023-03-01 06:07:00.0,0,1,fhn-20221231_htm.xml,1,,6021,Office of Finance,NATIONAL COMMERCIAL BANKS,https://www.sec.gov/Archives/edgar/data/36966/000003696623000016/0000036966-23-000016.txt
0000036966-23-000016,Traditional Competition Risks,competition risk,36966,FIRST HORIZON CORP,6021.0,US,TN,MEMPHIS,38103,165 MADISON AVENUE,,9018186232,US,TN,MEMPHIS,38103,165 MADISON AVENUE,,US,TN,620803242.0,FIRST HORIZON NATIONAL CORP,20040422.0,1-LAF,1,1231.0,10-K,20221231.0,2022.0,FY,20230301,2023-03-01 06:07:00.0,0,1,fhn-20221231_htm.xml,1,,6021,Office of Finance,NATIONAL COMMERCIAL BANKS,https://www.sec.gov/Archives/edgar/data/36966/000003696623000016/0000036966-23-000016.txt
0000036966-23-000016,"We are subject to intense competition for clients, and the nature of that competition is changing quickly.",competition risk,36966,FIRST HORIZON CORP,6021.0,US,TN,MEMPHIS,38103,165 MADISON AVENUE,,9018186232,US,TN,MEMPHIS,38103,165 MADISON AVENUE,,US,TN,620803242.0,FIRST HORIZON NATIONAL CORP,20040422.0,1-LAF,1,1231.0,10-K,20221231.0,2022.0,FY,20230301,2023-03-01 06:07:00.0,0,1,fhn-20221231_htm.xml,1,,6021,Office of Finance,NATIONAL COMMERCIAL BANKS,https://www.sec.gov/Archives/edgar/data/36966/000003696623000016/0000036966-23-000016.txt
0000036966-23-000016,Competitive pressures shift with the business and rate environment. ,competition risk,36966,FIRST HORIZON CORP,6021.0,US,TN,MEMPHIS,38103,165 MADISON AVENUE,,9018186232,US,TN,MEMPHIS,38103,165 MADISON AVENUE,,US,TN,620803242.0,FIRST HORIZON NATIONAL CORP,20040422.0,1-LAF,1,1231.0,10-K,20221231.0,2022.0,FY,20230301,2023-03-01 06:07:00.0,0,1,fhn-20221231_htm.xml,1,,6021,Office of Finance,NATIONAL COMMERCIAL BANKS,https://www.sec.gov/Archives/edgar/data/36966/000003696623000016/0000036966-23-000016.txt
